attractionId,name,category,activityType,lat,lng,estimatedCostPerDay,description,location,imageUrl
1,Sigiriya Ancient Rock Fortress,History,Sightseeing/Attractions,7.957,80.7603,36.0,5th-century ancient citadel perched on a 200m granite rock column with world-renowned frescoes and lion paw gate.,"Matale District, Central Province",https://images.unsplash.com/photo-1586861635167-e5223aadc9fe?w=800
2,Galle Dutch Fort & Lighthouse,Culture,Sightseeing/Attractions,6.0305,80.2168,25.0,"UNESCO World Heritage 17th-century fortified city built by the Portuguese and Dutch, featuring cobblestone streets, boutiques, and ocean views.","Galle, Southern Province",https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800
3,Yala National Park Safari,Wildlife,Guided Tours,6.3688,81.5204,90.0,"Sri Lanka's premier wildlife park boasting the highest leopard density in the world, along with elephants, sloth bears, and crocodiles.","Hambantota, Southern Province",https://images.unsplash.com/photo-1547970810-dc1eac8161a7?w=800
4,Ella Nine Arch Bridge & Little Adam's Peak,Nature,Sightseeing/Attractions,6.8768,81.0608,30.0,Iconic viaduct bridge built entirely of brick and rock amidst lush green tea estates and mountain hiking trails in Ella.,"Ella, Badulla District, Uva Province",https://images.unsplash.com/photo-1586861635167-e5223aadc9fe?w=800
5,Mirissa Blue Whale Watching & Coconut Tree Hill,Beaches,Guided Tours,5.9483,80.4578,55.0,Golden crescent beach famous for boat excursions to spot Blue Whales and sunset views from Coconut Tree Hill.,"Mirissa, Matara District, Southern Province",https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
6,Temple of the Sacred Tooth Relic (Sri Dalada Maligawa),Culture,Sightseeing/Attractions,7.2936,80.6413,20.0,"Venerated Buddhist temple complex located in the royal palace complex of the former Kingdom of Kandy, housing the relic of the tooth of Buddha.","Kandy, Central Province",https://images.unsplash.com/photo-1588598198321-9735fd52455b?w=800
7,Kitulgala White Water Rafting,Adventure,Guided Tours,6.9897,80.4144,48.0,"Thrilling Grade 3 & 4 rapid rafting through the Kelani River rainforest canyon, canyoning, and waterfall abseiling.","Kitulgala, Sabaragamuwa Province",https://images.unsplash.com/photo-1530866495561-507c9faab2ed?w=800
8,Colombo Street Food & Pettah Market Tour,Food,Guided Tours,6.936,79.854,28.0,"Culinary discovery walking tour sampling spicy kottu roti, isso wade on Galle Face Green, hoppers, and tropical fruit markets.","Colombo, Western Province",https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800
9,Horton Plains & World's End Precipice,Nature,Sightseeing/Attractions,6.8028,80.8091,45.0,Protected montane cloud forest plateau featuring Baker's Falls and the dramatic 880m sheer drop cliff at World's End.,"Nuwara Eliya, Central Province",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
10,Sinharaja Virgin Rain Forest Reserve,Nature,Guided Tours,6.4167,80.4667,40.0,"UNESCO World Biosphere reserve harboring over 60% of Sri Lanka's endemic trees, birds, reptiles, and butterflies.","Deniyaya / Kalawana, Southern Province",https://images.unsplash.com/photo-1448375240586-882707db888b?w=800
11,Udawalawe Elephant Sanctuary Safari,Wildlife,Guided Tours,6.4746,80.8987,65.0,Guaranteed wild Asian elephant sightings in an open grass savanna surrounding a scenic reservoir lake.,"Udawalawe, Sabaragamuwa Province",https://images.unsplash.com/photo-1557050543-4d5f4e07ef46?w=800
12,Pigeon Island Marine Sanctuary Coral Snorkeling,Adventure,Guided Tours,8.7203,81.2033,52.0,"National marine park in Nilaveli with live coral reefs, blacktip reef sharks, sea turtles, and turquoise calm waters.","Nilaveli, Trincomalee, Eastern Province",https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800
13,Adam's Peak (Sri Pada) Sacred Sunrise Pilgrimage,Adventure,Sightseeing/Attractions,6.8096,80.4994,18.0,"5,500-step sacred night climb to the 2,243m summit for the venerated footprint shrine and the legendary triangular sunrise shadow.","Nallathanniya, Central Province",https://images.unsplash.com/photo-1506744038136-46273834b3fb?w=800
14,Bentota Golden Beach & Water Sports Haven,Beaches,Sightseeing/Attractions,6.4256,79.9958,60.0,"Tranquil sandy strip nestled between the Indian Ocean and Bentota River lagoon, perfect for jet skiing, windsurfing, and luxury resorts.","Bentota, Galle District, Southern Province",https://images.unsplash.com/photo-1510414842594-a61c69b5ae57?w=800
15,Dambulla Royal Golden Cave Temple,Culture,Sightseeing/Attractions,7.8567,80.6483,22.0,Largest and best-preserved cave temple complex in Sri Lanka containing 153 Buddha statues and intricate wall murals dating from 1st century BC.,"Dambulla, Matale District, Central Province",https://images.unsplash.com/photo-1588598198321-9735fd52455b?w=800
